fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all,composite_score
"VN Capital Fund I, L.P.",505.96695468853824,0.9599682872741713,0.8279706475918513,1.0,True,0.9293129782886741
TAS Global Macro - Class H (USD),354.92403718972747,0.9102322854203445,0.7176412585067455,1.0,True,0.8759578479756968
UBS (Lux) Equity SICAV - Brazil (USD) P-acc,716.3084952323059,0.6929217168790025,0.9201387214294507,1.0,True,0.8710201461028179
TAS Global Macro - Class A (USD),354.66964923101676,0.9209119350141652,0.6902215193769905,1.0,True,0.8703778181303852
GAM Star Asia Pacific Equity GBP (Acc),550.3521447334754,0.8802966665378791,0.7194762532840746,1.0,True,0.8665909732739845
"Pine Grove Partners, L.P. - Class C",211.7298941496702,0.7530411450982287,0.9286032836855204,0.8406846414712399,True,0.840776356751663
Deutsche Invest I Africa LC,577.259183649739,0.6090872313366751,0.7308860385374926,1.0,True,0.7799910899580559
Reichmuth Bottom Fishing EUR,552.5024729785694,0.8224179111207288,0.8154533893936965,0.6876577997456863,True,0.7751763667533705
Deutsche Invest I Africa FC,577.3108794164585,0.5903907040216225,0.7254866810385592,1.0,True,0.7719591283533939
Black Diamond Relative Value Ltd. (Carlson),365.183893235021,0.8776210498891612,0.7473741896789275,0.6876577997456863,True,0.770884346437925
